,designation,location,jobInfo,description,experience,company,jobId,jdURL,latestPostedDate,vacancies,isTopEmployer,isFeaturedEmployer,isPremium,isWebJob,isQuickWebJob,logoUrl,tELogoUrl,isApplied,isTopEmployerLite,whitelistedkeywords,keywords,keywordsAr,email,isFormBasedApply,jobRedirection,shortlisted,expiringSoon,isArchived,bitFlag,recruiterActive,designationSeo,isConfidentialCompany,isConsultant,jobSource,isEasyApply
0,Senior Solutions Architect,Cairo - Egypt,Customer Centricity : Creates a positive internal customer experience during internal customer journeys and touch points Innovation: Continuously learn new trends in the market ...,"<p><strong>Job Purpose</strong></p><p>Create, manage and maintain the master blueprint (enterprise architecture) that guides the organization’s business and IT systems by having the vision and long-term perspective that gives the organization direction. This enables the prioritizing the business activities of etisalat and facilitates the adaptation of technology to the changing business needs.</p><p><strong>Report To Position Name</strong></p><ul><li>Product change impact analysis for </li><li> Products and services evaluation </li><li> Cost optimization initiatives </li><li> Organization transformations and capability buildingRFP Construction and evaluation </li><li> Contribute in the RFP generation of new network elements and solutions to ensure consistency and covering over all solution requirements. </li><li> Contributes in the evaluation of the responses to the RFPPlatform owner (SOA suite) </li><li> System planning and sizing </li><li> Accepts requirements from demand teams and produce high level design of the process and be accountable for task implementation during projects. </li><li> Request resources from Service delivery for implementation. </li><li> Provide a detailed documented description of the business process and the business process architecture. </li><li>Review design with service delivery team.Design review </li><li>Review designs made by domain experts in business, application and technology domainsChange Review Be part of the CAB for change requests that impacts the architecture, below are the change requests cases and the involvement required: </li><li> New system, HW, SW or integration point (ie: an integration point is usually connecting two systems together) </li><li> Removal of a system, HW, SW, integration point </li><li> Change of integration protoco Keeps architecture artifacts updated with plans and changes in the enterprise architecture repository.</li><li> Enterprise Architects provide guidance to the Project Architects who apply enterprise standards and guidelines at the project levelEnterprise solution architecture: management of the solution portfolio over time. Facilitate the content development of the enterprise solution architecture, including identifying and categorizing solution patterns and associated financial and technical condition information. </li><li>Defining the value-add of IT investments to organizations requires risk management, financial management and accounting skills.</li><li>Customer Centricity : Creates a positive internal customer experience during internal customer journeys and touch points Innovation: Continuously learn new trends in the market and propose new ideas, approaches and insights Operational Excellence : Takes responsibility—Accepts responsibility for outcomes of one’s work; with focus on accurate high quality operations daily routine, processes and workflows. </li><li>People Management : Demonstration of team spirit and a proactive collaboration with cross functional projects. Demonstrate company values and compliance with company policy.</li></ul>","{'min': '5', 'max': '8'}","{'name': 'Etisalat Misr', 'id': '201473', 'url': 'etisalat-misr-careers-cid-201473'}",170223000007,senior-solution-architect-jobs-in-cairo-egypt-in-etisalat-misr-5-to-8-years-n-cd-201473-jid-170223000007,1676613308,1,False,False,False,False,False,https://static.naukimg.com/ni/nipjp/201473/201473.gif,https://static.naukimg.com/ni/nipjp/201473/201473.gif,False,False,"informatics,system architect,togaf","Senior Solutions Architect,IT Governance & PMO,InformaticS,System Development,IT architecture development,IT architecture support,standardizing,System Architect,TOGAF","Senior Solutions Architect,IT Governance & PMO,InformaticS,System Development,IT architecture development,IT architecture support,standardizing,System Architect,TOGAF",,False,False,False,False,False,0,False,Senior Solutions Architect,False,False,POSTED,True
1,Junior IT Auditor,Giza - Egypt,"Ensure compliance with the Internal Audit Charter, approved by the Audit Committee and the Institute of Internal Auditors (IIA) Standards with special emphasis on maintaining su...","About the job Junior IT Auditor<br>Job brief<br>Executing and reporting operational, financial, regulatory and compliance audits in Orange. Providing a systematic, disciplined approach to evaluate and improve the effectiveness of risk management, control, and governance processes.<br>Responsibilities<br>1. Contribute in developing the annual internal audit plan of Orange, by identifying key risks and proposing operational, financial, regulatory and compliance audits to be included in the Audit plane.<br>2. Examine and evaluate the effectiveness of the organizational internal control systems and procedures; and recommend corrective actions to enhance internal controls and reduce costs where possible.<br>3. Liaise with the audit, internal control, non- Telco fraud departments to eliminate audit assignments redundancy and to get risk / control feedback if they were previously audited by such functions.<br>4. Support in determining the IT audit assignment detailed scope to cover the risk exposure and achieve the internal audit plans objectives.<br>5. Analyze the effectiveness and efficiency of IT policies, procedures, processes as assess whether further risks and controls exist.<br>6. Assist in preparing IT audit programs and determining the types of tests to be used for each risk and control to achieve completeness, accuracy, existence, cut-off, valuation, right and obligation, and presentation and disclosure.<br>7. Perform audit procedures, starting from applying the sampling guidelines in selecting the samples, substantive testing; examining and analyzing evidences, analytical procedures of data and re-performance of calculations.<br>8. Identify and share with manager all areas where control weakness, inefficiencies, leakage, impaired integrity of financial or operational data or non-compliance were identified based on performed audit procedures.<br>9. Conduct risk assessment according to Orange Risk Framework to assess their risk weight and impact for the identified audit findings.<br>10. Provide recommendations addressing the identified observations and improving the organizations operations, financial reporting and compliance with law and regulations.<br>11. Arrange for meetings with the audited team and management to discuss the audit recommendations and commitment to action plan and due date.<br>12. Assist in preparing audit reports, including identified findings recommendations, management action plans and due dates.<br>13. Ensure the timely implementation of audit recommendations and action plans by holding meetings with departments management to follow-up on previously reported audit findings.<br>14. Ensure compliance with the Internal Audit Charter, approved by the Audit Committee and the Institute of Internal Auditors (IIA) Standards with special emphasis on maintaining sufficient documentation on the audit.<br>Requirements<br>Education:<br>1- Bachelor degree in Computer Science, other studies related to IT Audit will be an asset.<br>Experience:<br>1- Minimum 2 Years Experience In The Same Function.<br>Skills and abilities:<br>1- Very good English both spoken and written.<br>2- Very good computer skills.<br>3- Strong Customer Orientation.<br>4- Strong communication, listening &amp; interpersonal skills.<br>5- Flexibility &amp; ability to work in a team.<br>6- Self-confident with professional behavior &amp; attitude.<br>7- High sense of time management.","{'min': '1', 'max': '2'}","{'name': 'Orange', 'id': '10003776', 'url': None}",210223500993,it-auditor-jobs-in-giza-egypt-in-orange-1-to-2-years-n-cd-10003776-jid-210223500993,1676955600,1,False,False,False,True,False,https://static.naukimg.com/ni/nipjp/10003776/10003776.gif,https://static.naukimg.com/ni/nipjp/10003776/10003776.gif,False,False,,Junior IT Auditor,Junior IT Auditor,,False,False,False,False,False,0,True,Junior IT Auditor,False,False,WEB,False
2,BMC Remedy Senior ITSM Engineer,Cairo - Egypt,Experience in translating high level process requirements into detailed process implementations within Remedy;3 years experience as System Administrator;3 years experience suppo...,". Operate and administer the ITSM environment based on BMC Remedy, Analytics and Smart reporting.<br>.Support of the individual modules and maintain and supervise the system interfaces and operating manuals. Design and set up new workflows.<br>. Remedy administration and development<br>Configuring Remedy Incident, Change, Problem, and Asset<br>Configuring SLAs within Remedy<br>Provide technical support for operations and environment support aspects of the ITS Enterprise ITSM Suite which serves customers, engineers, user-support groups, and management.<br>Building CMDBs and enhancing Atrium Integrator workflows<br>Updating and refining CMDB reconciliation workflows","{'min': '3', 'max': '5'}","{'name': 'ITS', 'id': '20010162', 'url': None}",210223500098,bmc-remedy-senior-m-engineer-jobs-in-cairo-egypt-in-its-3-to-5-years-n-cd-20010162-jid-210223500098,1676955600,1,False,False,False,True,False,,,False,False,,BMC Remedy Senior ITSM Engineer,BMC Remedy Senior ITSM Engineer,,False,False,False,False,False,0,True,BMC Remedy Senior ITSM Engineer,False,True,WEB,False
3,IT help desk engineer,Giza - Egypt,"• Familiar with Microsoft Windows server 2016, Win 10, etc. • Familiar with Office 2016, Outlook System. • Familiar with printing & scanning & fax services, and complete the bas...","• Familiar with Microsoft Windows server 2016, Win 10, etc.<br>• Familiar with Office 2016, Outlook System.<br>• Familiar with printing &amp; scanning &amp; fax services, and complete the basic configuration and simple repair.<br>• Solid knowledge about TCP/IP configuration and resolve basic network problem.<br>• Familiar with the commonly used models, such as Lenovo, Dell, HP hardware failure repair;<br>• Be familiar with commonly used software such as Photoshop, etc.<br>• Familiar with the view of access control and monitoring system CCTV operation and basic configuration","{'min': '3', 'max': '5'}","{'name': 'Afro Egypt', 'id': '20010162', 'url': None}",130223500059,it-helpdesk-engineer-jobs-in-giza-egypt-in-afro-egypt-3-to-5-years-n-cd-20010162-jid-130223500059,1676264400,1,False,False,False,True,False,,,False,False,,IT help desk engineer,IT help desk engineer,,False,False,False,False,False,0,False,IT help desk engineer,False,True,WEB,False
4,"Archer - Advisor, IT Service Operations",Cairo - Egypt,"Partners, as required, with other IT teams as appropriate to ensure problem resolution is obtained and, if necessary, root cause is identified;Typically requires 4+ years of rel...","<br>Archer - Advisor, IT Service Operations<br>The RSA Archer GRC Platform supports business-level management of enterprise governance, risk and compliance (GRC). The platform allows you to adapt a broad range of solutions to your requirements, build new business processes, and integrate with external systems without touching a single line of code. Archer s flexible strategy has won over some of the most demanding Fortune 500 companies. These businesses have seized the power of the Platform to make RSA Archer solutions their own, modeling additional business processes in a fraction of the time it would take to develop traditional custom applications.<br>Provides expertise to ensure holistic support, proactive monitoring, and overall health of IT applications, IT tools, infrastructure (hardware, data, software), security, information access, system performance and data integrity. Utilizes appropriate IT tools to resolve issues within global, complex technical, business- and mission-critical environments. Is deemed a subject-matter expert in more than one technical discipline. Recognizes recurring problems and proactively works cross-functionally and inter-departmentally throughout the organization to recommend solutions and process improvements. Works with other IT groups, vendors, and business units to lead monitor and resolve system outages.<br>Principal Responsibilities:<br>• Provide direct Face-to-Face world class end user support experience with an emphasis on quality resolutions<br>• Help improve end user's productivity by completing triage, offering advice, teaching and developing solutions to common challenges with office products and capabilities<br>• Provide hardware break/fix support and warranty support for current desktop, laptop, tablets and workstation device<br>• Provide operating system and application support to diagnose and resolve unique, non-recurring problems<br>• Reimage systems as required<br>• Identifies potential escalations and proactively alerts management as needed.<br>• Partners, as required, with other IT teams as appropriate to ensure problem resolution is obtained and, if necessary, root cause is identified<br>• Recommend and/or performs upgrades on systems<br>• Work with procurement staff to purchase hardware and software<br>• Complete installation and testing of computers and peripherals within established standards and guidelines<br>• Provide basic support for mobile devices and printers<br>• Provide primary support to executive users<br>• Provide equipment move services<br>• Ensures configuration and inventory management database entries are complete and accurate<br>• Provides time / resource estimates for assigned tasks including time tracking activities<br>• Local travel as needed<br>• Perform other duties as assigned<br>Requirements:<br>• Certifications a plus: ITIL, Microsoft, Azure Cloud, Cisco CCNA.<br>• Multi-language is a plus. Japanese language desired.<br>• Able to adapt to change<br>• Strong problem solving skills<br>• Sense of urgency<br>• Strong troubleshooting skills<br>• Strong customer service skills<br>• Strong communication skills<br>Education and Experience:<br>• Bachelor s degree<br>• Typically requires 4+ years of related experience in a professional role.<br><br>","{'min': '4', 'max': '6'}","{'name': 'RSA Security\xa0', 'id': '10008573', 'url': None}",060223501235,service-advisor-jobs-in-cairo-egypt-in-rsa-security-4-to-6-years-n-cd-10008573-jid-060223501235,1675659600,1,False,False,False,True,False,https://static.naukimg.com/ni/nipjp/10008573/10008573.gif,https://static.naukimg.com/ni/nipjp/10008573/10008573.gif,False,False,,"Archer - Advisor,IT Service Operations","Archer - Advisor,IT Service Operations",rsa.global.talent.acquisition@rsa.com,False,False,False,False,False,0,False,Archer - Advisor  IT Service Operations,False,False,EMAIL,True
5,IT Technical Support,Cairo - Egypt,"Monitoring, maintaining and ensuring computer systems running smoothly and maximum benefit to all users;Have good knowledge working in networking including but not limited to TC...","• Installing, configuring, Supporting and maintaining computer hardware, software, systems, networks, printers, scanners, attendance machines and Camera s systems in large organizations.<br>• Providing prompt Desktop technical support and direct user assistance via phone, one-to-one meeting, or electronically including but not limited to Windows (7/8/10/11) , Office (2010 , 2013 ,2016 ,2019) Outlook and Emails management in big organizations.<br>• Have good knowledge working in networking including but not limited to TCP/IP model , Domain DC , Configure routers Switches and Backups.<br>• Monitoring, maintaining and ensuring computer systems running smoothly and maximum benefit to all users.<br>• Monitoring and Configuring security systems such as firewalls.<br>• Responding in a timely manner to solve issues and requests, in addition Following up with clients to ensure the problem is resolved<br>• Troubleshoot system and network problems, diagnosing and solving hardware or software faults, in addition replace parts if required<br>• set up new user's accounts and profiles and deal with password issues<br>• Test and evaluate new technology<br>• Prepare accurate and timely reports<br>• Document technical knowledge in the form of notes and manuals","{'min': '3', 'max': '5'}","{'name': 'DAOUD Group', 'id': '20010162', 'url': None}",090223500927,it-technical-support-jobs-in-cairo-egypt-in-daoud-group-3-to-5-years-n-cd-20010162-jid-090223500927,1675918800,1,False,False,False,True,False,,,False,False,it technical support,IT Technical Support,IT Technical Support,,False,False,False,False,False,0,False,IT Technical Support,False,True,WEB,False
6,IT Support Officer,Alexandria - Egypt,"Keep computer systems running smoothly and ensure users get the maximum benefit from them;Rapidly establish a good working relationship with customers and other professionals, s...","• Keep computer systems running smoothly and ensure users get the maximum benefit from them.<br>• Installing, configuring, and updating computer hardware, operating system, software, systems, networks, printers, and scanners.<br>• Repair or replace damaged hardware.<br>• Ensure the safety of data and protection of devices.<br>• Monitor and maintain computer systems and networks.<br>• Talk to staff or clients through a series of actions, either face-to-face or over the phone, to help set up systems or resolve issues.<br>• Troubleshoot system and network problems, diagnosing and solving hardware or software faults<br>• Support the roll-out of new applications.<br>• Set up new users' accounts and profiles and deal with password issues.<br>• Respond as soon as possible to urgent calls and issues.<br>• Rapidly establish a good working relationship with customers and other professionals, such as software developers<br>• Conduct electrical safety checks on computer equipment.<br>• Responsible for technological choices and needs.<br>• The cleaning of hardware components from dust. Talking to clients and computer users to determine the nature of their problems","{'min': '5', 'max': '7'}","{'name': 'Arabian Vision', 'id': '20010162', 'url': None}",080223500601,it-support-officer-jobs-in-alexandria-egypt-in-arabian-vision-5-to-7-years-n-cd-20010162-jid-080223500601,1675832400,1,False,False,False,True,False,,,False,False,it support officer,IT Support Officer,IT Support Officer,,False,False,False,False,False,0,False,IT Support Officer,False,True,WEB,False
7,IT Recruiter,Cairo - Egypt,"Experience working in a high-volume recruitment role, especially in Technical Recruitment;1-year experience in the same rule is a must;Previous experience in international compa...","As our business is growing, we are looking for an IT RECRUITER.<br>If you think you have the suitable requirements and qualifications for this job, APPLY NOW!","{'min': '1', 'max': '3'}","{'name': 'Ulemt', 'id': '20010162', 'url': None}",080223500430,it-recruiter-jobs-in-cairo-egypt-in-ulemt-1-to-3-years-n-cd-20010162-jid-080223500430,1675832400,1,False,False,False,True,False,,,False,False,it recruiter,IT Recruiter,IT Recruiter,,False,False,False,False,False,0,False,IT Recruiter,False,True,WEB,False
8,Perso IT Coordinator,Cairo - Egypt,Must be a graduate of Computer Science/Communications/Electronics engineering;Should be a resident of 10th of Ramadan/Shrouk/Obour /Cairo Gesr el Suez area only OR Sharkia,"• This, not a regular IT job, the incumbent will be responsible for multiple operational tasks in collaboration with the production department and technical projects teams which are working on the Personalization (Programming) of Smartcards, if you're interested to enter the fast-growing repayment/Smartcard technology world, first read carefully below requirements then click Apply.","{'min': '3', 'max': '4'}","{'name': 'Masria Digital Payment (...', 'id': '20010162', 'url': None}",070223500630,it-coordinator-jobs-in-cairo-egypt-in-masria-digital-payment-3-to-4-years-n-cd-20010162-jid-070223500630,1675746000,1,False,False,False,True,False,,,False,False,,Perso IT Coordinator,Perso IT Coordinator,,False,False,False,False,False,0,False,Perso IT Coordinator,False,True,WEB,False
9,IT Specialist,Cairo - Egypt,"-3 Good Knowledge of windows 7 ,8.1 and 10 and windows server (2008-2012-2016);-3 Experience: 5 Years Minimum;-2 Good Knowledge of A and N","IT specialist (technical support and networks)<br>With the following requirements and conditions:<br>Job Requirements<br>-3 Experience: 5 Years Minimum.<br>-2 Good Knowledge of A and N .<br>-3 Good Knowledge of windows 7 ,8.1 and 10 and windows server (2008-2012-2016).<br>- 4Good Knowledge of Domain controller (DC) Active directory, DNS, DHCP and fileserver.<br>-5 Degree in computer science or a related field is preferable<br>-6 In-depth knowledge of technology<br>About the Job<br>-1 Providing technical assistance and support related to computer systems, hardware, software and networking. Responds to queries, runs diagnostic programs, isolates problem, and determines and implements solutions.<br>-2 Setting up new users' accounts and profiles and dealing with password issues.<br>-3 Troubleshoot and resolve basic network and server access problems for end-users.<br>-4 Installing and maintaining hardware (printers, Scanners, etc. .), computer peripherals, operating systems and computer software.<br>-5 Ensure security and privacy of networks and computer systems<br>-6 Implementing security and data protection<br>-7 Resolving all issues coworkers have with their IT systems and software","{'min': '4', 'max': '5'}","{'name': 'El Namaa for Contracting', 'id': '20010123', 'url': None}",060223501275,it-specialist-jobs-in-cairo-egypt-in-el-namaa-for-contracting-4-to-5-years-n-cd-20010123-jid-060223501275,1675659600,1,False,False,False,True,False,,,False,False,it specialist,IT Specialist,IT Specialist,,False,False,False,False,False,0,False,IT Specialist,False,True,WEB,False
