,id,title,description
0,09c527f4-3fb9-402e-92e3-e802866cfc72,Sales Manager,"SALES MANAGER JOB DESCRIPTIONResponsible for planning, implementing and directing the sales activities of the company in a designated area to achieve sales objectives.Duties and Responsibilitiesdevelop a sales strategy to achieve organizational sales goals and revenuesset individual sales targets with sales teamdelegate responsibility for customer accounts to sales personnelco-ordinate sales action plans for individual salespeopleoversee the activities and performance of the sales teamensure sales team have the necessary resources to perform properlymonitor the achievement of sales objectives by the sales teamliaise with other company functions to ensure achievement of sales objectivesevaluate performance of sales staffprovide feedback, support and coaching to the sales teamplan and direct sales team trainingassist with the development of sales presentations and proposalsdevelop online sales platformsco-ordinate and monitor online sales activityinvestigate lost sales and customer accountstrack, collate and interpret sales figuresforecast annual, quarterly and monthly sales revenuegenerate timely sales reportsdevelop pricing schedules and ratesformulate sales policies and procedureshelp prepare budgetscontrol expenses and monitor budgetsmaintain inventory controlconduct market research and competitor and customer analysisanalyze data to identify sales opportunitiesdevelop promotional ideas and materialattend trade meetings and industry conventionscultivate effective business relationships with executive decision makers in key accountsachieve growth and hit sales targets by successfully managing the sales teamdesign and implement a strategic business plan that expands company’s customer base and ensure its strong presenceown recruiting, objectives setting, coaching and performance monitoring of sales representativesbuild and promote strong, long-lasting customer relationships by partnering with them and understanding their needspresent sales, revenue and expenses reports and realistic forecasts to the management teamidentify emerging markets and market shifts while being fully aware of new products and competition status"
1,0739174a-2443-4d3f-b64e-5c34ece26876,Cybersecurity Officer,"Implementing security measures based on business needs and industry best practices.Monitoring networks for potential threats using security tools such as firewalls, antivirus software, RMM, IPS, IDS, Containment.Installing and troubleshooting new security systems such as firewalls, antivirus software, RMM, IPS, IDS, Containment.Implementing security policies, procedures, and plans to safeguard data and systems from cyber-attacks.Analyzing the impact of emerging technologies on existing security systems and identifying potential risks.Conducting a forensic analysis of cyber-attacks to determine the source of the attack and how to prevent similar attacks in the future.Performing risk assessments to identify potential security threats in an organization’s computing environment.Conducting a forensic analysis of cyber-attacks to determine the source of the attack and how to prevent similar attacks in the future.Communicate with employees to collect Feedback about newly implemented security policies, procedures, and security tools.Solving user’s problems regarding to security polices and tools.Making sure that user’s devices is stable and running smoothly.High level of Technical support skills.Good knowledge of ITarian platform is a plus."
2,083ebcbc-bc00-4f5f-8398-15585ad35582,IT Manager,"Ensuring the accuracy and integrity of relevant hardware and software applications .Checking security of the system on a regular basis. Implementing training schedules for all members of the team and on occasion for other employees. Arranging for regular audits of the system, often in collaboration with an IT Auditor .Managing annual budgets for the department and reporting such information to senior management .Instigating and managing major IT projects in accordance according to business needs and budget restrictions, including system updates and migrations.Manage information technology and computer systemsPlan, organize, control and evaluate IT and electronic data operationsManage IT staff by recruiting, training and coaching employees, communicating job expectations and appraising their performanceDesign, develop, implement and coordinate systems, policies and proceduresEnsure security of data, network access and backup systemsAct in alignment with user needs and system functionality to contribute to organizational policyIdentify problematic areas and implement strategic solutions in timeAudit systems and assess their outcomesPreserve assets, information security and control structuresHandle annual budget and ensure cost effectivenessAssessing opportunities for improvement via inspirational leadership and innovations in IT products and processes.VOIP Systems  .Cequens System .Odoo System.Backend Web Development.CCTV System."
3,a5fd0169-fc57-4b43-9778-8d22bc151b88,Senior PHP Laravel Developer,"Responsibilities:Develop and maintain web applications using PHP LaravelWrite clean and efficient codeCollaborate with cross-functional teams to define, design, and ship new featuresTroubleshoot and debug issuesOptimize application for maximum speed and scalabilityPerform unit testing and ensure the code is stableContinuously discover, evaluate, and implement new technologies to maximize development efficiency"
4,2aad8a20-7d90-4147-aa51-c592e1001aac,Backend Developer - Laravel,"The interchange of data between the site/software users and servers.The primary focus of the Backend Developer is to develop the server-side logic as well as the development and maintenance of the central database.Responsible for the integration of frontend elements built by the frontend teams, hence, requiring that he has a basic understanding of frontend technologiesResponsible for developing and evolving the business’s sites/software/applications using the latest software development infrastructure and methodsWill design and develop technical and complex MySQL Server Databases.Design and implement security and data protection measures, implements data-storage solutions, and web applications through the web application.Gather and introduce new and relevant technologies and information on factors such as documentation practices, scalability, testing techniques, and refactoring.Writes code that meets the project standards in an attempt to deliver the desired functionality aligned with the engineering department’s overall standards and guidelinesOverseeing and participating in implementation, deployment and ensuring maintenance and capabilities for a systemAssisting with proposed implementations and estimates for project proposals"
5,8b4cfb96-13e4-43ea-bf35-1dc7eaeaf788,Senior Quality Control (Plastic Injection),Developing quality control processes.Designing product specifications.Ensuring products are designed with adherence to legal and safety standards. Supervising staff and monitoring production standards.Examining the quality of raw materials that are used in production.Monitoring and evaluating internal production processes.Evaluating final output of products to determine their quality.Rejecting products that fail quality standards.Engaging with customers and gathering product feedback.Producing statistical reports on quality standards.Reporting to upper management on quality standard issues.Evaluating product recalls.Improving production efficiency and managing waste 
6,8ae1d19e-221f-457f-adda-9e6eb72f7cd9,Senior Accountant,"1-Coordinating accounting functions and programs.2-Preparing financial analyses and reports.3-Preparing revenue projections and forecasting expenditure.4-Assisting with preparing and monitoring budgets.5-Maintaining and reconciling balance sheet and general ledger accounts.6-Assisting with annual audit preparations.7-Investigating and resolving audit findings, account discrepancies, and issues of non-compliance.8-Preparing withholding tax, salaries tax,VAT,and special tax returns.9-Contributing to the development of new or amended accounting systems, programs, and procedures.10-Performing other accounting duties and supporting junior staff as required or assigned."
7,7f2bf77d-ff73-4536-90a3-f694f16d5fa2,Senior .Net Engineer,"Participate in requirements analysisCollaborate with internal teams to produce software design and architectureWrite clean, scalable code using .NET programming languagesTest and deploy applications and systemsRevise, update, refactor and debug codeImprove existing softwareDevelop documentation throughout the software development life cycle (SDLC)Serve as an expert on applications and provide technical support"
8,51220753-ca97-44e4-94e4-522bbbb932ce,Front End Developer - Remote,"we are alexapps a software company located in Alexandria, we are 25 software developers and now we have ERP software and looking for an expert JavaScript developer who is highly skilled with front-end frameworks like Vue.js or reactjs to join our team to build an ERP application.We are looking for smart engineers to understand advanced business logic and transfer it to high-quality, maintainable, and scalable codeWe work Agility to you should be Expert Read & Agile and understands user storiesWork will be remotely from Sunday to Thursday You will join a team consisting of 5 Front-end  and 4 Bak-end developers all work done with Agile product management JIra"
9,0bd47385-3588-4dbc-8233-0bfa8cd12812,Senior Software Developer [C# & C++],"• Participate in software development of new functionality in various software components for devices on a real-time OS.• Participate in the full software development lifecycle (develop, test, document, debug and maintain the applications).• Develop scripts, test utilities, and other development aids to improve designer efficiency.• Research product concepts and potential manufacturers for cost-effective development• Design, invent and/or improve products that demonstrate substantial market demand• Improve, verify, and/or validate existing products• Troubleshoot and diagnose issues with equipment and devices• Development of written material such as product specification sheets and operational manuals• Design Documentation• Validate & test prototype designs ensuring to meet applicable regulatory expectations• Work closely with sales and marketing departments to establish product launch strategies• Work closely with quality departments to ensure product quality during production"
