,id,title,description
0,dc7d041a-2561-4af3-912a-cff72e445158,Customer Service Representative for Gaming & High-Tech E-commerce Company,"Are you passionate about gaming and high-tech devices? Do you enjoy helping people and providing exceptional customer service? If so, we want you to join our team as a Customer Service Representative.We are a fast-growing e-commerce company that specializes in gaming and high-tech devices. Our mission is to provide our customers with the latest and greatest products and exceptional customer service. We are looking for a customer service representative who shares our passion and can help us deliver a world-class customer experience.We believe that work should be fun and enjoyable. That's why we have a great team culture and positive vibes in our working place. You will have the opportunity to work with a talented and passionate team who shares your interests and values.Responsibilities:Respond to customer inquiries via phone, email, and live chat in a timely and professional mannerResolve customer issues and complaints to ensure customer satisfactionProvide customers with product information, pricing, and availabilityAssist customers with placing orders, tracking shipments, and processing returnsCollaborate with our content and product teams to provide accurate and up-to-date information to customersUse our customer service software to manage and track customer interactions<ul><li>A passion for gaming and high-tech devices</li><li>Proven experience as a customer service representative or similar role</li><li>Exceptional proficiency in both Arabic and English language, including excellent grammar and writing skills</li><li>Excellent communication and problem-solving skills</li><li>Ability to remain calm and professional under pressure</li><li>Ability to multitask and manage time effectively</li><li>Familiarity with CRM software and customer service tools</li><li>Good knowledge of computer hardware/software and the latest tech and gaming trends</li></ul>"
1,652bec8e-d181-4ca9-86b8-8138449bca3b,Passionate Content Editor for Gaming & High-Tech E-commerce Company,"Do you have a passion for gaming and high-tech devices? Are you a talented content editor who wants to be a part of a fast-growing e-commerce company that specializes in these industries? If so, we want you to join our team!At Awfarlak/NEX, we are committed to providing our customers with the latest and greatest gaming and high-tech products & content. We are looking for a content editor who shares our passion and can help us create engaging and informative content that will excite our customers and keep them coming back for more.As our content editor, you will have the opportunity to research and write about the latest trends and developments in the gaming and high-tech industries. You will work closely with our marketing and product teams to create and execute content strategies that align with our business goals. You will also manage product listings on our website, ensuring accurate and up-to-date information is displayed for each product.We believe that work should be fun and enjoyable. That's why we have a great team culture and positive vibes in our working place. You will have the opportunity to work with a talented and passionate team who shares your interests and values.<ul><li>A passion for gaming and high-tech devices</li><li>Proven experience as a Content Editor or similar role</li><li>Good knowledge of computer hardware &amp; components</li><li>Up-to-date with the latest news and developments in the gaming and high-tech industries</li><li>Excellent writing and editing skills in both English and Arabic</li><li>Strong research and analytical skills</li><li>Ability to work independently and collaboratively in a fast-paced environment</li><li>Basic Photoshop skills is preferable</li><li>Bachelor’s degree or equivalent certificate</li></ul>"
2,fe0000b3-95c2-4226-bb60-9d456572bbbc,Senior React Developer,"Developing and implementing user interface components using React.js Framework.Debug, Test, Deploy, and Maintain applications.Improving front-end performance;Ensuring web design implementation is optimized for smartphones.Working closely and communicating adequately with Product Managers, Backend Developers and Quality Assurance Engineers to achieve team goals.Participating in API technical design.Upgrading existing applications to keep the project up to date with the latest technology;Maintain existing project structure to make the development process more effective and easy;Build reusable modules and libraries for future use.<ul><li>3+ years of software development experience, and strong proficiency in JavaScript and React.</li><li>Thorough understanding of React.js and its core principles</li><li>Familiar with popular React.js workflows (such as Redux for state management).</li><li>Proficient understanding of cross-browser compatibility issues and ways to work around.</li><li>Good understanding of HTML5 and CSS3, including (Sass or Less depending on your technology stack).</li><li>Knowledge of functional programming and object-oriented programming paradigms.</li><li>Understanding of server-side rendering and its benefits and use cases.</li><li>Advanced Git/Github Knowledge.</li><li>Familiar with build tools like (npm, webpack, gulp, bower and ...etc).</li><li>Experience with Agile development methodologies.</li><li>Experience with Postman or other API testing tools.</li><li>Familiarity working closely with UX and Visual Designers in a dynamic environment.</li><li>A good understanding of CI/CD.</li><li>Good understanding of PWAs.</li><li>Good command of both written and spoken English.     </li><li>Familiar with Zeplin.</li></ul>"
3,4d84d08b-f48c-4fcd-8947-cdf7b6be2a56,Junior Web Developer (Back-End) - Alexandria,"Duties:Designing relational databases and queries.Design patterns, composition, and object-oriented development.Working Conditions:Company Location: Alexandria - TharwatDays Off: Saturday-Sunday<ul><li>Gender: Any</li><li>Age: from 22 to 28</li><li>From 0 to 3 years of experience</li><li>Living in Alexandria is a must</li><li>PHP & MySQL Developer</li><li>MVC Pattern experience</li><li>Laravel Framework Experience</li><li>Very good at HTML, CSS, Javascript, and JQuery</li><li>Experience using Bootstrap</li><li>Experience using RESTful APIs</li><li>Facebook API is recommended</li><li>Google API is recommended</li><li>Experience designing relational databases and queries.</li><li>Experience using Git and GitHub</li><li>Very good command of the English language (with a focus on reading and writing)</li></ul>"
4,8e23268b-0ceb-426a-b366-b672f0bf4664,Software Analyst/Tester (Fresh) - Alexandria,"A leading Software Solutions Companies in Alexandria is seeking “Software Analyst/Tester [Fresh]”Job Duties:Discuss project features and  requirements with clientsDesign prototypes and map user experienceConvert requirements into detailed tasks for developmentCommunicate with the development team to discuss tasks from business and functional perspectivesEstimate, prioritize, plan, and coordinate tasksMonitor project development closely and solve any problems related to execution that come up during development.Creates test plans, tests scenarios, and tests cases from business and functional requirementsExecutes testsCommunicates defects to the development teamAnalyze and monitor system performanceSuggests product enhancements to improve user experienceRetest resolved bugs and perform regression tests<ul><li>Gender: Female [Veiled]</li><li>No Experience is Required</li><li>Job Type: Full Time-Office Based</li><li>Weekend: Saturday-Sunday</li><li>Job Location: Alexandria, Tharwat</li></ul><p><strong>Ideal Candidate’s Requirements:</strong></p><ul><li>Bachelor degree holder.</li><li>Must be a resident of Alexandria.</li><li>Strong communication and organizational skills.</li><li>Excellent written and verbal communication skills in English.</li><li>Positive, proactive team player who is passionate about her work.</li><li>The candidate should exhibit problem-solving skills and the ability to take initiative and learn fast.</li></ul>"
5,2440f141-f3e9-46a2-9b56-e318baf41ca8,ASP .NET Developer,"Write clean, scalable code using .NET programming languages.Remain up to date with the terminology, concepts, and best practices for coding web apps.Use and adapt existing web applications for apps.Create and test software prototypes.Coordinate with other software professionals and developers.Support and review codes.Provide technical leadership in the development process.<ul><li>Familiarity with ASP.NET framework, SQL Server, and design / architectural pattern (specially <strong>CQRS and the Mediator Pattern</strong>).</li><li>Knowledge of REST API.</li><li>Strong Knowledge of ORM (especially entity framework).</li><li>ASP.NET Core web API documentation with Swagger.</li><li>Basic Knowledge of at least one of HTML5/CSS3.</li><li>Understanding of Agile methodologies</li><li>Expertise in developing, implementing, and supporting complex ASP. Net web-based applications and websites.</li><li> Expertise in Back-End Development using .NET technologies.</li><li> Strength working with ASP.Net MVC Framework.</li><li> Proficiency in writing SQL queries, working with SQL Server, and relational database concepts.</li><li>Experience in Git source control.</li><li>Experience in dot net Core.</li><li>Collaborate with an internal team of front-end developers, back-end developers, and quality assurance teams to implement requirements.</li></ul>"
6,c9271f39-c8ac-4737-944d-95f68e24a56c,DATA ARCHITECT (Remote) NCR (package in EURO),"ABOUT THE CLIENTOur client is one of the largest worldwide accounting, tax, audit and consultancy companies operating in more than 160 countries.ABOUT THE ROLEThis role will focus on the architecture of data services developed and The Solution architect is a member of the architecture team. The SA is responsible for designing new solutions, redesigning existing solutions and vetting solutions proposed by integration partners while adhering to the Global IT architecture standards defined.The SA is also responsible for maintaining, creating and or updating the architecture artifacts like documentation in functional, non-functional and technical areas per solution as well as providing input into overarching architecture documentation.Key to this role will be the ability to manage all the architectural guidance in projects and the ability to drive the architectural governance of projects to the desired outcome that is in line with the longer-term architectural vision and standards.RESPONSIBILITIESPerformance and progress in the following areas will be the priorities for this position:Architecting and designing solutions in a cloud data environment.Guide coach the development teams and data engineers around architectural data topics.Adhere and contribute to the company's Secure Development policies and play a proactive role in making sure application are secure by design.Adhere to the company's Change Management procedures.Adhere and contribute to the company's Architecture standards and guidelines.Communicating effectively with the company's Lead Solution Architect, Product Manager,Architecture & Infrastructure Manager, Program Manager Global IT and other key stakeholders.Support Level 3 investigationsProvide leadership to other team members working in an Agile environment <p><strong>Job requirements</strong></p><p>1. College diploma or university degree in the field of computer science.<br>2. Expert skill level with 2 to 5 years experience with the following technologies:<br>Azure PaaS Data Services<br>Object Oriented Analysis and Design<br>CI/CD and source control<br>ETL techniques and principles<br>Data modelling<br>Master Data Management<br>Data Visualization</p><p>3. Experienced in designing and implementing data platform, reporting and analytics solutions in the Microsoft Azure ecosystem.<br>4. Familiarity with Agile Project Management and methodologies desired.<br>5. Able to exercise independent judgement and take action on it.<br>6. Excellent analytical and creative problem-solving skills.<br>7. Excellent listening, written, and oral communication skills.<br>8. Strong relationship, interpersonal, and team skills.<br>9. Highly self-motivated and directed.<br>10. Experience working in a team-oriented, collaborative environment.</p><p>This role is only open to applicants residing nearshore and offshore. We're currently not processing applicants from Lithuania for this role.</p><p>Data Architect&nbsp;<br>5-8 &nbsp;Years of Experience 4800 Euro/Mon</p>"
7,9e6c7cca-293c-463b-aec5-1815a532cd5b,"AZURE CLOUD ENGINEER NCR, (REMOTE) - (package in Euro)","AZURE CLOUD ENGINEERNCR, National Capital Region, PhilippinesABOUT THE CLIENTOur client is one of the largest worldwide accounting, tax, audit and consultancy companies operating in more than 160 countries.Job descriptionABOUT THE ROLEThis role will focus on design, deployment and automation of technical infrastructure services developed and hosted by Global IT. The emphasis of the role will be on designing, deploying and automating infrastructure as code. The cloud engineer will also be active in administration and operations in the Global IT application landscape. Ensuring the integrity, availability, performance, recoverability, and security of the data services in accordance with established policies, procedures and to agreed service levels.RESPONSIBILITIESAdministration of core cloud platform services across a variety of Microsoft cloud (Azure) technologies.Working with the architects to design the cloud infrastructure needed to run our services.Automation of re-occurring tasks and processes related to Infrastructure.Design of deployment pipelines and creating infrastructure as code templates to support these.Working to resolve tickets as they are escalated to our team. Communicating effectively with both internal and external resources via the helpdesk system, email, voice and Teams. Operating in accordance with ITSM standards.Ensure business continuity through effective and efficient replication, backup, and recovery methodologies of core IT data servicesStandardisation and documentation of common procedures that cannot be easily automated, for execution by other resources or teamsProvide customer support in addition to general duties and contribution to team objectivesParticipate in the projects that change existing services, establish new services or retire services from an operational implementation and support perspective<p><strong>Job requirements</strong></p><ul><li>Three or more years of commercial IT experience in enterprise infrastructure implementation and administration.</li><li>Demonstrate intermediate-to-advanced knowledge in the following technologies:<br>Azure PaaS infrastructure, like Azure apps, Azure storage, Key Vault, Azure SQL Failover groups, Azure Traffic Manager.<br>Tenant, subscription, and resource management in Azure.<br>Azure AD.<br>Azure Resource Manager template creation<br>Designing, creating, and maintaining deployment pipelines in Octopus Deploy<br>Designing, creating, and maintaining deployment pipelines in Azure DevOps<br>PowerShell</li><li>Demonstrate intermediate knowledge in the following technologies:<br>Azure SQL Vnets, Azure Virtual Machines<br>Azure SQL DB<br>Azure Monitor, Application Insights<br>Microsoft 365</li><li>Experience working with custom internally-developed applications and interacting with development teams preferred.</li><li>Fundamental knowledge of ITIL, or other IT Service Management methodology framework, and 3+ years experience working in an environment with:<br>Adherence to formal change management processes<br>Delivery of services and support to defined service levels<br>Experience using IT Service Management systems</li><li>Effectively demonstrates leadership, teamwork, problem solving, initiative and integrity</li><li>Excellent interpersonal and written communication skills; technical writing experience preferred</li><li>Able to properly organize and structure workloads and team</li></ul><p>This role is only open to applicants residing offshore or outside of Lithuania and Europe.</p><p>Package :</p><p>3-5 Years of Exp &nbsp;2900 Euro/Mon /<br>5-8 Years of Exp &nbsp;3400 Euro/Mon</p>"
8,03710895-a292-48b6-8d5e-1a0630808bc8,Software Engineer,"Required Skills:Minimum of a bachelor’s degree in Computer Science or related field required.Experience with SQL databases and queriesExpert level skills in debugging techniquesSkilled in problem solving and troubleshooting with proven ability to enhance and improve existing procedures and practices Great communication skillsHands on experience on any ticketing management systemExperience of deploying/installation of applications on windows platform.Experience of creating windows executables packages using winrar,msi etc <p>Job Responsibilities:</p><p>          This onsite resource will be doing the following <br>                                       i.    Administration activities(Adding/Editing/Removing ATMs/Users/Groups)<br>                                      ii.    Operational activities <br>                                     iii.    Activities related to Database maintenance<br>                                     iv.    CR deployment.<br>                                      v.    View360 Implementation<br>                                     vi.    View360 reporting and reviews</p>"
9,2c8df292-0091-4c44-a53d-9ab3096f9e2f,DATA ENGINEER (DATA SCIENTIST) -NCR (REMOTE) (EURO Rates),"DATA ENGINEER (DATA SCIENTIST)job descriptionReiz Tech is Expanding and Hiring Globally! Growth Is In Our DNA and We Will Help You Grow!ABOUT THE CLIENTOur client is one of the largest worldwide accounting, tax, audit and consultancy companies operating in more than 160 countries.ABOUT THE ROLEThis role will focus on technical management of data services developed and hosted by the company. The emphasis of the role will be on data engineering by designing, deploying and maintain ETL / ELT logic in a modern cloud-based data estate. The data engineer will also be active in database administration and operations in the Global IT application landscape. Ensuring the integrity, availability, performance, recoverability, and security of the data services in accordance with established policies, procedures and to agreed service levels. Other task will revolve around data analytics and related ETL/ELT processes.RESPONSIBILITIESAdministration of core data services across a variety of Microsoft cloud (Azure) technologies.Working to resolve tickets as they are escalated to our team. Communicating effectively with both internal and external resources via the helpdesk system, email, voice and Teams. Operating in accordance with ITSM standards.Installation, configuration, operation and maintenance of cloud data systems (IaaS / PaaS) and software.Ensure business continuity through effective and efficient replication, backup, and recovery methodologies of core IT data servicesAutomation of common procedures used to resolve Incidents, Problems and Change Requests.Standardisation and documentation of common procedures that cannot be easily automated, for execution by other resources or teamsProactive monitoring of the data infrastructure and associated servicesProactive management of the data infrastructure and associated services including patching and upgrading of the data estate and problem remediationProvide customer support in addition to general duties and contribution to team objectivesParticipate in the projects that change existing services, establish new services or retire services from an operational implementation and support perspective<p><strong>Job requirements</strong></p><ul><li>Three or more years of commercial IT experience in enterprise infrastructure implementation and administration.</li><li>Demonstrate intermediate-to-advanced knowledge in the following technologies:<br>Azure Synapse Analytics,Azure Data Factory / Azure Synapse Pipelines,Azure Data Lake,Azure Analysis Services</li><li>Demonstrate intermediate knowledge in the following technologies:<br>Azure SQL Database,Azure Cosmos DB SentryOne, Solarwinds DPA, or similar SQL monitoring tool</li><li>Experience working with custom internally-developed applications and interacting with development teams preferred.</li><li>Fundamental knowledge of ITIL, or other IT Service Management methodology framework, and 3+ years experience working in an environment with:<br>Adherence to formal change management processes<br>Delivery of services and support to defined service levels<br>Experience using IT Service Management systems</li><li>Effectively demonstrates leadership, teamwork, problem solving, initiative and integrity</li><li>Excellent interpersonal and written communication skills; technical writing experience preferred</li></ul><p>This role is only open to applicants residing offshore or outside of Lithuania and Europe.</p><p>Data Engineer <br>3-5 2900 Euro/Mon<br>5-8 4000 Euro/Mon  </p>"
