,type,id,jobType,applicationType,status,title,description,requirements,salary min,salary max,salary currency,salary period,salary additionalDetails,salary isPaid,keywords,careerLevel id,careerLevel name,careerLevel hint,careerLevel browsePage,location country id,location country name,location country code,location city id,location city name,location city latitude,location city longitude,location area id,location area name,location area latitude,location area longitude,workExperienceYears min,workExperienceYears max,vacancies,workRoles,workTypes,schools,candidatePreferences gender,candidatePreferences educationLevel id,candidatePreferences educationLevel name,candidatePreferences requiresBachelorDegree,candidatePreferences requiresGoodProfileMeter,candidatePreferences requiresAcademicExcellence,hotScore,logo,slug,uri,views,redirectUrl,tempWorkingFromHome,hideCompany,hideGender,hideSalary,settings isAutoPosted,settings isHighlighted,settings isFeatured,postedAt,expireAt,relationships company data type,relationships company data id,links self,location area,salary currency id,salary currency name,salary currency code,salary period id,salary period name,relationships company data
0,job,d11c5ebe-8767-4d32-b640-09c212742251,job,internal,active,Information systems officer,"• Responsible internally for the implementation of the ERP system• Designs report options and/or extracts data for use by individual users and/or   departments for the purpose of providing customized information to meet specific needs.• Provide technical assistance and support for issues related to computer systems, software and hardware• Provide training to the various departments on the system and the tools available to use it.• Instruct employees on the use of ERP information systems (new applications, upgrades, updates, etc.) for the purpose of ensuring proper and effective use of the system.• Leads group work of system administration functions• Acting as the first line of support for our main users after implementing the system.• Tracks incidents in the system. Troubleshooting. Provides timely phone, email, and face-to-face support.• Documenting the process on a weekly basis• Increasing efficiency and effectiveness in business operations, while coordinating, at the same time, planning work in business operations for membership. ",<ul><li>Male</li><li>Age maximum 32 years</li><li>location (6 October &amp; Sheikh Zayed )&nbsp;</li><li>Experience from 5 to 7 Year Real Stat&nbsp;</li><li>Hard Work&nbsp;</li><li>&nbsp;</li></ul>,,,,,Mobile allowance & Medical Insurance,True,"'Information Technology (IT)','Computer Science'",6,Experienced,Non-Manager,a/Experienced-Jobs-in-Egypt,56,Egypt,EG,1550,Giza,30.02063400,31.20886600,79.0,Sheikh Zayed,30.02000000,31.00000000,5.0,7.0,1,"[{'id': 15, 'name': 'Installation/Maintenance/Repair', 'browsePage': 'a/Installation-Maintenance-Jobs-in-Egypt'}, {'id': 16, 'name': 'IT/Software Development', 'browsePage': 'a/IT-Software-Development-Jobs-in-Egypt'}]","[{'id': 1, 'name': 'full_time', 'displayedName': 'Full Time', 'browsePage': 'a/Full-Time-Jobs-in-Egypt'}, {'id': 9, 'name': 'volunteering', 'displayedName': 'Volunteering', 'browsePage': 'a/Volunteering-Jobs-in-Egypt'}]",[],,10,Not Specified,False,False,False,0,,l8Z7l7PL178Q-Information-systems-officer-Jawad-Giza-Egypt,jobs/p/l8Z7l7PL178Q-Information-systems-officer-Jawad-Giza-Egypt,0,,True,False,False,True,,,,03/11/2023 17:50:56,05/10/2023 17:50:56,company,87462,https://wuzzuf.net/api/job/d11c5ebe-8767-4d32-b640-09c212742251,,,,,,,
1,job,77c896b1-5252-4ce0-8650-ba19b12ea1f2,job,internal,active,Presales Network Engineer,"Combine the understanding of advanced technologies with the ability to develop client-partner relationships.Collaborate with the sales support or account team by acting as technical experts in customer presentations.Determine the technical requirements to meet client goals and act as a liaison between the organization's sales/business development and engineering.Requests for information or requests for customer proposals, supplying the technical details of proposed solutions.Provide product-driven, system solutions at the enterprise level.Liaising between the business partners and the client to architect a recommended the best value and best in class solutions.Coordinate the transition between pre-sales specifications and implementation engineering once contracts have been awarded.","<p> </p><p>- Answer to RFI/RFQ/RFP.</p><p>- Prepare Commercial, Pricing, and Technical Proposals.</p><p>- Proactively Scopes the Technical Solution.</p><p>- Participate in Conferences, Meetings, and Exhibitions.</p><p>- Provides Coaching and Professional Development to members.</p><p>- Participate in Training when needed.</p><ul><li>Bachelor Degree in Computer/Communication/Telecommunication/Electrical Engineering.</li><li>Good Knowledge of networking.</li><li>Good Knowledge of Servers and Storage.</li><li>Basic Knowledge of Cybersecurity.</li><li>Good Knowledge in Visio.</li><li>Good knowledge in (not less than three):</li></ul><p>DellEMC, HPE, Cisco, Juniper, Microsoft, Fortinet, MacAfee, Kaspersky, VMWare, Veeam.</p><ul><li>Good Communication Skills.</li><li>Good English Language (Speaking and Written).</li><li>+3 Years of working experience in field.</li></ul>",,,,,Negotiable,True,"'Computer Science','Engineering','Information Technology (IT)','Pre-Sales','computer','Telecom','Telecom Engineering','Technology','Science','sales skills','Sales','Communication'",6,Experienced,Non-Manager,a/Experienced-Jobs-in-Egypt,56,Egypt,EG,1545,Cairo,30.05075900,31.23383900,,,,,1.0,3.0,1,"[{'id': 15, 'name': 'Installation/Maintenance/Repair', 'browsePage': 'a/Installation-Maintenance-Jobs-in-Egypt'}, {'id': 16, 'name': 'IT/Software Development', 'browsePage': 'a/IT-Software-Development-Jobs-in-Egypt'}, {'id': 36, 'name': 'Engineering - Telecom/Technology', 'browsePage': 'a/Engineering-Telecom-Technology-Jobs-in-Egypt'}]","[{'id': 1, 'name': 'full_time', 'displayedName': 'Full Time', 'browsePage': 'a/Full-Time-Jobs-in-Egypt'}, {'id': 7, 'name': 'work_from_home', 'displayedName': 'Work From Home', 'browsePage': 'a/Work-From-Home-Jobs-in-Egypt'}]",[],,10,Not Specified,False,False,False,0,,SCcXmpdS54HF-Presales-Network-Engineer-ICS-Technologies-Cairo-Egypt,jobs/p/SCcXmpdS54HF-Presales-Network-Engineer-ICS-Technologies-Cairo-Egypt,24,,False,False,False,True,,,,03/11/2023 14:34:04,05/10/2023 14:34:04,company,87587,https://wuzzuf.net/api/job/77c896b1-5252-4ce0-8650-ba19b12ea1f2,,,,,,,
2,job,5a96c302-19b4-467f-920c-5ca0b0ea70ec,job,internal,active,Senior Front End Developer,"Use markup languages like Angular JS/ Vue JS / React JS to create user-friendly web pagesMaintain and improve websiteOptimize applications for maximum speedDesign mobile-based featuresCollaborate with back-end developers and web designers to improve usabilityGet feedback from, and build solutions for, users and customersWrite functional requirement documents and guidesCreate quality mockups and prototypesHelp back-end developers with coding and troubleshootingEnsure high quality graphic standards and brand consistencyStay up-to-date on emerging technologies","<ul><li>Proven work experience as a Front-end developer</li><li>Hands on experience with markup languages</li><li>Experience with JavaScript, CSS and jQuery</li><li>Familiarity with browser testing and debugging</li><li>In-depth understanding of the entire web development process (design, development and deployment)</li><li>Understanding of layout aesthetics</li><li>Knowledge of SEO principles</li><li>Familiarity with software like Adobe Suite, Photoshop and content management systems</li><li>An ability to perform well in a fast-paced environment</li><li>Excellent analytical and multitasking skills</li><li>BSc degree in Computer Science or relevant field</li><li><strong>5+ years’ experience&nbsp;</strong>in web application design and development</li><li>Bachelor’s Degree in relevant discipline or equivalent experience</li><li>Expertise with web client languages (HTML, CSS, JavaScript)</li><li>Expertise with Angular, Vue JS or React JS &nbsp;NgRx and version control systems (Git)</li><li>Apex (Salesforce) or Java</li><li>Typescript</li></ul>",,,,,,True,"'Angular','Computer Science','CSS','Design','front-end','Git','HTML','Information Technology (IT)','React','JavaScript','Software Development','Web Development','Vue.js'",6,Experienced,Non-Manager,a/Experienced-Jobs-in-Egypt,56,Egypt,EG,1545,Cairo,30.05075900,31.23383900,20.0,Maadi,29.95999400,31.27235900,4.0,7.0,2,"[{'id': 8, 'name': 'Creative/Design/Art', 'browsePage': 'a/Creative-Design-Art-Jobs-in-Egypt'}, {'id': 16, 'name': 'IT/Software Development', 'browsePage': 'a/IT-Software-Development-Jobs-in-Egypt'}, {'id': 36, 'name': 'Engineering - Telecom/Technology', 'browsePage': 'a/Engineering-Telecom-Technology-Jobs-in-Egypt'}]","[{'id': 1, 'name': 'full_time', 'displayedName': 'Full Time', 'browsePage': 'a/Full-Time-Jobs-in-Egypt'}]",[],,14,Bachelor's Degree,False,False,False,0,,ewma3m8H0gAc-Senior-Front-End-Developer-FlairsTech-Cairo-Egypt,jobs/p/ewma3m8H0gAc-Senior-Front-End-Developer-FlairsTech-Cairo-Egypt,72,,False,False,False,True,,,,03/10/2023 21:10:17,05/09/2023 21:10:17,company,1631,https://wuzzuf.net/api/job/5a96c302-19b4-467f-920c-5ca0b0ea70ec,,,,,,,
3,job,49dd2932-a35f-4b0f-ba63-89ae0b8f214a,job,internal,active,"Specialist , IT Support","Location:             Pyramids Heights/ HeliopolisReports to:          Manager, IT SupportPurpose:   Responsible for maintaining a smooth operation of all IT related devices & systems in the university by providing all initial technical support to Faculty, Students & Staff and troubleshooting technical issues through designated personnel. Principal Accountabilities: Technically prepares, and installs all newly acquired computers, Printers/photocopiers, internet routers and servers.Keeps track and handles the inventory of all IT related hardware in addition to reporting it on regular basis or as required.Ensures maintenance of all IT related systems in terms of software and hardware.Responds to all employees software and hardware inquiries resolving related problems.Checks on servers, internet routers and access points on daily basis to ensure proper operation.Acts as the contacts person and as a liaison between Faculty, Students & Staff and the designated personnel for technical issues, regarding networks, enterprise applications or other systems.Attends to any additional tasks requested by Direct Supervisor. ",<p><strong>Minimum education requirement: &nbsp; &nbsp; &nbsp; &nbsp;</strong></p><ul><li>BA in any relevant field</li></ul><p><strong>Experience</strong>:&nbsp; &nbsp;&nbsp;</p><ul><li>1-4 years of experience in Help Desk &amp; IT Support</li></ul><p><strong>Skills:&nbsp;</strong></p><ol><li>Very Good communication skills&nbsp;</li><li>Very Good proficiency of English Language</li><li>Very Good Customer Service skills</li><li>Very Good troubleshooting &amp; Problem Solving Skills</li></ol><p>&nbsp;</p>,,,,,,True,"'Computer Science','Information Technology (IT)','IT','Customer Support'",6,Experienced,Non-Manager,a/Experienced-Jobs-in-Egypt,56,Egypt,EG,1550,Giza,30.02063400,31.20886600,64.0,6th of October,29.93810000,30.91400000,1.0,4.0,1,"[{'id': 16, 'name': 'IT/Software Development', 'browsePage': 'a/IT-Software-Development-Jobs-in-Egypt'}]","[{'id': 1, 'name': 'full_time', 'displayedName': 'Full Time', 'browsePage': 'a/Full-Time-Jobs-in-Egypt'}]",[],,10,Not Specified,False,False,False,2,,zWnGqgYRwkhO-Specialist-IT-Support-ESLSCA-University-Giza-Egypt,jobs/p/zWnGqgYRwkhO-Specialist-IT-Support-ESLSCA-University-Giza-Egypt,138,,False,False,False,True,,,,03/10/2023 18:03:12,05/09/2023 18:03:12,company,7498,https://wuzzuf.net/api/job/49dd2932-a35f-4b0f-ba63-89ae0b8f214a,,,,,,,
4,job,b4d16709-87a7-4bfa-b8aa-606c367bc833,job,internal,active,Team Leader ( Telesales ),"As our business is growing up, we are looking for a Telesales Team Leader  If you think you have the suitable requirements and qualifications for this job, APPLY NOW!Setting teams KPIs & coaching team membersTo delegate tasks to sales staffset daily, weekly, or monthly sales goals.motivate employees to reach individual sales goals and encourage the staff to work better, rather than harder.Writing sales scripts and customer answer sheetsTo train and coach the sales team.Assists management with hiring processes.To orient the new sales staff and focus on improving existing staff's job performance and sales.responsible for preparing and delivering sales reports to management.Provides quality customer service, including interacting with customers, answering customer inquiries, and effectively handling customer complaintsTrain the team for better quality performance 'Soft skills"".Weekly Reporting on team performance (Call center+ business KPIs)",<ul><li><strong>English Fluency is a MUST</strong></li><li>IT Service back ground is preferred&nbsp;</li><li>Domanin and Hosting Back ground is preferred&nbsp;</li><li>2 – 3 years experience in the same role</li><li>Coaching skills</li><li>Result Oriented</li><li>Analytical skills.</li><li>Call center soft skills</li><li>Drive team performance to reach KPIs and Targets</li><li><strong>MALES ONLY&nbsp;</strong></li></ul>,,,,,,True,"'English','Experience','Information Technology (IT)','sales skills','Sales','Sales Target','Performance','Call Center','Skills','is'",6,Experienced,Non-Manager,a/Experienced-Jobs-in-Egypt,56,Egypt,EG,1545,Cairo,30.05075900,31.23383900,20.0,Maadi,29.95999400,31.27235900,2.0,4.0,1,"[{'id': 9, 'name': 'Customer Service/Support', 'browsePage': 'a/Customer-Service-Jobs-in-Egypt'}, {'id': 16, 'name': 'IT/Software Development', 'browsePage': 'a/IT-Software-Development-Jobs-in-Egypt'}, {'id': 27, 'name': 'Sales/Retail', 'browsePage': 'a/Sales-Jobs-in-Egypt'}]","[{'id': 1, 'name': 'full_time', 'displayedName': 'Full Time', 'browsePage': 'a/Full-Time-Jobs-in-Egypt'}]",[],,10,Not Specified,False,False,False,0,,i8YnVUVfYEfA-Team-Leader-Telesales-Ulemt-Cairo-Egypt,jobs/p/i8YnVUVfYEfA-Team-Leader-Telesales-Ulemt-Cairo-Egypt,69,,False,False,False,True,,,,03/10/2023 12:40:22,05/09/2023 12:40:22,company,21777,https://wuzzuf.net/api/job/b4d16709-87a7-4bfa-b8aa-606c367bc833,,,,,,,
5,job,8802bec9-034d-4ebc-84eb-7bbba84d2c21,job,internal,active,Software Project Manager,Note: Calibers with intensive experience in the Software field only will be consideredPresent Project plan (upper level)Track performance all over the project Main contact between teams.Main contact with the customer (internal or external customer in some cases).Maintain the project budget and Control overall Project Cost.Control the project scope over the software life cycleControl effort estimationsControl the deadlines of the projectsReview the output project to insure the implementationGenerate the tracking reports and stats for managementAssist the teams to resolve any technical issues.Assist the team leaders to find good solutions for any technical complex subject.Follow up the process with the teams to match the QA rulesShare with the top management to specify the new technology directions needed to move forward.Engage the design/architecture team to define and set the required architecture models.Supervise team members and ensure that deadlines are followed.Evaluate the team members/leaders at the technical level and assist them to improve their weakness areasIdentify the resources needed for the project and source these materials,"<ul><li>+6 years of professional work in the software field. </li><li>Bachelor in Computer Science in information technology, software engineering, or a related field</li><li>Project Management Professional (PMP) certification preferred</li><li>Strong familiarity with project management software tools, methodologies, and best practices</li><li>​Proven ability to complete projects according to outlined scope, budget, and timeline.</li><li>Fully Understand SDLC.</li><li>Familiar with web development languages, such as .Net Core,C#</li><li>Practical knowledge of technology solutions and project management knowledge</li><li>Excellent time management and organizational skills and experience establishing guidelines in these areas for others</li><li>Managerial experience applying analytical thinking and problem-solving skills</li></ul>",,,,,,True,"'Information Technology (IT)','Computer Science','Project Management','Software Development','Management','PMP','Software Engineering','Software','Agile Software','Agile','PMI','CMMI','Risk Management','Project Planning','SDLC'",6,Experienced,Non-Manager,a/Experienced-Jobs-in-Egypt,56,Egypt,EG,1545,Cairo,30.05075900,31.23383900,40.0,Heliopolis,30.09257500,31.32104600,4.0,,1,"[{'id': 16, 'name': 'IT/Software Development', 'browsePage': 'a/IT-Software-Development-Jobs-in-Egypt'}]","[{'id': 1, 'name': 'full_time', 'displayedName': 'Full Time', 'browsePage': 'a/Full-Time-Jobs-in-Egypt'}]",[],,10,Not Specified,False,False,False,1,,Q0qpYbqVsArU-Software-Project-Manager-GET-Group--Egypt-Cairo-Egypt,jobs/p/Q0qpYbqVsArU-Software-Project-Manager-GET-Group--Egypt-Cairo-Egypt,101,,False,False,False,True,,,,03/09/2023 18:40:13,05/08/2023 18:40:13,company,3132,https://wuzzuf.net/api/job/8802bec9-034d-4ebc-84eb-7bbba84d2c21,,,,,,,
6,job,793d89e5-dd56-40f3-a21d-e2b5653c92bb,job,internal,active,Penetration Tester,"web and network vulnerabilitiesPerforming Hunting manual penetration test (blackbox/greybox)Probe for vulnerabilities in web applications, mobile applications and Network.Perform a variety of internal and external technical assessments), review tactics and processes to protect organizations from threats, interpret findings to determine if systems and processes can appropriately react to threats, identify security settings that may need to be “hardened” and recommend a multi-layered approach to prevent attacks, including proper defense, relationships, communication and training.Continuous improvement of know how in the field of application securitySupport development teams with consultations on the penetration testing findingsCooperation and decision making across other penetration testing teams","<ul><li>BSC in Communication Engineering or computer science.</li><li>Web/Mobile/Network penetration testing related work experience 1:3 years.</li><li>Basic understanding of web-app architectures.</li><li>Basic understanding of software development concepts.</li><li>Experienced with security frameworks OWASP, SANS, MITRE, OSSTMM.</li><li>Basic understanding of PortSwigger BurpSuite or equivalent software.</li><li>Strong understanding of HTTP protocol, Oauth, SSO, JWT.</li><li>Strong understanding of REST, JSON, WebServices, SOAP, XML.</li><li>Basic understanding of JavaScript debugging.</li><li>Ability to clearly communicate and present technical topics.</li><li>Good analytical and problem-solving skills.</li><li>Good aptitude for learning new technologies. </li><li>Good written and verbal communication skills. </li><li>Result oriented, Self-motivated, and Highly collaborative.</li><li>SANS, (ISC)² and Ec-council certifications is a plus.</li></ul>",,,,,,True,"'Computer Science','Information Technology (IT)','JavaScript','Linux','network','OSSTMM','OWASP','Penetration','Penetration Testing','SANS','Security','Testing'",5,Entry Level,Junior Level / Fresh Grad,a/Entry-Level-Jobs-in-Egypt,56,Egypt,EG,1550,Giza,30.02063400,31.20886600,81.0,Abu Rawash,30.04265000,31.10047100,1.0,3.0,1,"[{'id': 16, 'name': 'IT/Software Development', 'browsePage': 'a/IT-Software-Development-Jobs-in-Egypt'}, {'id': 25, 'name': 'Quality', 'browsePage': 'a/Quality-Jobs-in-Egypt'}, {'id': 36, 'name': 'Engineering - Telecom/Technology', 'browsePage': 'a/Engineering-Telecom-Technology-Jobs-in-Egypt'}]","[{'id': 1, 'name': 'full_time', 'displayedName': 'Full Time', 'browsePage': 'a/Full-Time-Jobs-in-Egypt'}]",[],,10,Not Specified,False,False,False,2,,jTQshstTlslV-Penetration-Tester-e-finance-Giza-Egypt,jobs/p/jTQshstTlslV-Penetration-Tester-e-finance-Giza-Egypt,125,,True,False,False,True,,,,03/09/2023 15:49:27,05/08/2023 15:49:27,company,2920,https://wuzzuf.net/api/job/793d89e5-dd56-40f3-a21d-e2b5653c92bb,,,,,,,
7,job,e389c3ca-582a-4c36-b0ab-f4583e84248c,job,internal,active,Software Tester / Quality Control Engineer (Mansoura),Using the software as intended to analyze its functional properties.Designing test procedures to evaluate each software product.Running test programs to ensure that testing protocols evaluate the software correctly.Tweaking the software testing systems for maximum performance.Finalizing and documenting testing procedures.Completing final tests and creating test reports.Presenting test reports to management and suggesting software fixes.Reporting and documenting technical issues.Review and analyze system specifications.Execute test cases (manual or automated) and analyze results.Evaluate product code according to specifications.Report bugs and errors to development teams.Conduct post-release/ post-implementation testing.Work with cross-functional teams to ensure quality throughout the software development life-cycle.,"<ul><li>More than 1 year of experience.</li><li>Bachelor’s degree in Computer Science, Software Engineering, or similar field.</li><li>Proven work experience as a Software Test Engineer.</li><li>Strong attention to detail.</li><li>Ability to collate data and compile test reports.</li><li>Strong &nbsp;Analytical &nbsp;skills.</li></ul>",,,,,,True,"'Quality Assurance','Quality Control','Engineering','Quality','SQL','Zephyr','Testing','Software Testing','Agile','Project Management','Information Systems','Information Technology (IT)','Computer Science','Computer Engineering','QA','Software','QC','Software Engineering','Troubleshooting','Test'",5,Entry Level,Junior Level / Fresh Grad,a/Entry-Level-Jobs-in-Egypt,56,Egypt,EG,1546,Dakahlia,31.04108300,31.47836900,196.0,Mansoura,31.04205000,31.37429000,1.0,,1,"[{'id': 16, 'name': 'IT/Software Development', 'browsePage': 'a/IT-Software-Development-Jobs-in-Egypt'}, {'id': 25, 'name': 'Quality', 'browsePage': 'a/Quality-Jobs-in-Egypt'}, {'id': 36, 'name': 'Engineering - Telecom/Technology', 'browsePage': 'a/Engineering-Telecom-Technology-Jobs-in-Egypt'}]","[{'id': 1, 'name': 'full_time', 'displayedName': 'Full Time', 'browsePage': 'a/Full-Time-Jobs-in-Egypt'}]",[],,14,Bachelor's Degree,False,False,False,3,,zCltGt7TKNZG-Software-Tester-Quality-Control-Engineer-Mansoura-qTech-AlQemam-Dakahlia-Egypt,jobs/p/zCltGt7TKNZG-Software-Tester-Quality-Control-Engineer-Mansoura-qTech-AlQemam-Dakahlia-Egypt,132,,False,False,False,True,,,,03/09/2023 15:42:57,05/08/2023 15:42:57,company,3545,https://wuzzuf.net/api/job/e389c3ca-582a-4c36-b0ab-f4583e84248c,,,,,,,
8,job,c90eef55-ac6e-4691-9c85-cdf975a1c152,job,internal,active,Full Stack Developer,"Full Stack Developer job description should contain the following requirements and qualifications:BSc degree in Computer Science or similar relevant fieldIn depth knowledge of NodeJS, ExpressJSExperience implementing applications using Angular+2Experience creating front end applications using HTML5, Angular+2, LESS/SASSHands on experience with JavaScript Development on both client and server-sideExperience with modern frameworks and design patterns, and MEAN Fullstack paradigmIn depth knowledge of version control ( Git).Knowledge of the following will be considered as an advantage:Consumer Web Development Experience for High-Traffic, Public Facing web applicationsExperience with cloud technologies also a plusCreating secure RESTful-based web services in XML and JSON, JavaScript","<ul><li>Proven experience as a Full Stack Developer or similar role</li><li>Experience developing desktop and mobile applications</li><li>Familiarity with common stacks</li><li>Knowledge of multiple front-end languages and libraries (e.g. HTML/ CSS, JavaScript, XML, jQuery)</li><li>Knowledge of multiple back-end languages (e.g. C#, Java, Python) and JavaScript frameworks (e.g. Angular, React, Node.js)</li><li>Familiarity with databases (e.g. MySQL, MongoDB), web servers (e.g. Apache) and UI/UX design</li><li>Excellent communication and teamwork skills</li><li>Great attention to detail</li><li>Organizational skills</li><li>An analytical mind</li><li>Degree in Computer Science, Statistics or relevant field</li></ul>",,,,,,True,"'Agile','Computer Science','Design','Development','DevOps','Engineering','Information Technology (IT)','Java','JavaScript','Scrum','Software','Software Development','Angular','Full Stack','HTML'",6,Experienced,Non-Manager,a/Experienced-Jobs-in-Egypt,56,Egypt,EG,1545,Cairo,30.05075900,31.23383900,38.0,Nasr City,30.05578000,31.34616400,3.0,5.0,1,"[{'id': 16, 'name': 'IT/Software Development', 'browsePage': 'a/IT-Software-Development-Jobs-in-Egypt'}, {'id': 36, 'name': 'Engineering - Telecom/Technology', 'browsePage': 'a/Engineering-Telecom-Technology-Jobs-in-Egypt'}]","[{'id': 1, 'name': 'full_time', 'displayedName': 'Full Time', 'browsePage': 'a/Full-Time-Jobs-in-Egypt'}]",[],,14,Bachelor's Degree,False,False,False,1,,rnrh6iXhhGc7-Full-Stack-Developer-Contellect-Cairo-Egypt,jobs/p/rnrh6iXhhGc7-Full-Stack-Developer-Contellect-Cairo-Egypt,117,,False,False,False,True,,,,03/09/2023 15:13:42,05/08/2023 15:13:42,company,70376,https://wuzzuf.net/api/job/c90eef55-ac6e-4691-9c85-cdf975a1c152,,,,,,,
9,job,ba0fda7f-81a7-4658-bb03-013268f92b64,job,internal,active,SAP SF consultant - Btween EGY & KSA,"We need five end to end SuccessFactors projects implementation and delivery experience.Strong SuccessFactors skills with certification in one or more modules of SuccessFactors including:- Employee Central.Employee Central Payroll.Recruiting and Onboarding.Performance and Goal Management.Succession and Career Development.Learning.Recruiting.Time Tracking.Strong understanding of HR business processes.Proven experience in agile delivery methods (SAP activate), application design development, technical architecture, integration, change management, test strategy and execution, cutover planning, cutover execution and deployment.","<ul><li>Ability to work creatively and analytically in a problem-solving environment.</li><li>Mastery of excellent communication (written and oral) and interpersonal skills, with excellent leadership skills.</li><li>Proven history of hands-on delivery in major HR transformation programs and success in contributing within a team environment.</li></ul>",,,,,,False,"'SAP','Information Technology (IT)'",6,Experienced,Non-Manager,a/Experienced-Jobs-in-Egypt,56,Egypt,EG,1545,Cairo,30.05075900,31.23383900,,,,,5.0,,1,"[{'id': 16, 'name': 'IT/Software Development', 'browsePage': 'a/IT-Software-Development-Jobs-in-Egypt'}]","[{'id': 1, 'name': 'full_time', 'displayedName': 'Full Time', 'browsePage': 'a/Full-Time-Jobs-in-Egypt'}]",[],,14,Bachelor's Degree,False,False,False,1,,I1P7PBWrgzHo-SAP-SF-consultant---Btween-EGY-KSA-Ejada-Cairo-Egypt,jobs/p/I1P7PBWrgzHo-SAP-SF-consultant---Btween-EGY-KSA-Ejada-Cairo-Egypt,51,,False,False,False,True,,,,03/09/2023 15:08:18,05/08/2023 15:08:18,company,9273,https://wuzzuf.net/api/job/ba0fda7f-81a7-4658-bb03-013268f92b64,,,,,,,
